Qex_time,Qex_flow
6990.0,0.00035399999999999993
6995.0,0.000313
7000.0,0.000362
7005.0,0.000335
7010.0,0.000328
7015.0,0.00035
7020.0,0.00032099999999999994
7025.0,0.000301
7030.0,0.00033199999999999994
7035.0,0.000272
7040.0,0.000298
7045.0,0.00036499999999999993
7050.0,0.000276
7055.0,0.000328
7060.0,0.000358
7065.0,0.000331
7070.0,0.000313
7075.0,0.00035900000000000005
7080.0,0.000285
7085.0,0.000289
7090.0,0.000317
7095.0,0.000287
7100.0,0.0002820000000000001
7105.0,0.000378
7110.0,0.000263
7115.0,0.00032
7120.0,0.000372
7125.0,0.000327
7130.0,0.000271
7135.0,0.00034
7140.0,0.000306
7145.0,0.000323
7150.0,0.00039
7155.0,0.0003
7160.0,0.000322
7165.0,0.000356
7170.0,0.000335
7175.0,0.000301
7180.0,0.000325
7185.0,0.000307
7190.0,0.000295
7195.0,0.000344
7200.0,0.000285
7205.0,0.00030400000000000007
7210.0,0.00033
7215.0,0.000292
7220.0,0.000245
7225.0,0.000256
7230.0,0.000223
7235.0,0.000281
7240.0,0.00032
7245.0,0.000261
7250.0,0.000289
7255.0,0.000341
7260.0,0.000306
7265.0,0.00029
7270.0,0.000317
7275.0,0.000273
7280.0,0.000272
7285.0,0.000367
7290.0,0.000253
7295.0,0.000256
7300.0,0.000307
7305.0,0.000259
7310.0,0.000259
7315.0,0.00027699999999999996
7320.0,0.000255
7325.0,0.000256
7330.0,0.00032
7335.0,0.000266
7340.0,0.000261
7345.0,0.000316
7350.0,0.000248
7355.0,0.000309
7360.0,0.000346
7365.0,0.000295
7370.0,0.000344
7375.0,0.000329
7380.0,0.0002820000000000001
7385.0,0.00035900000000000005
7390.0,0.000276
7395.0,0.000269
7400.0,0.000296
7405.0,0.000347
7410.0,0.000265
7415.0,0.000327
7420.0,0.000283
7425.0,0.000259
7430.0,0.000274
7435.0,0.000327
7440.0,0.000242
7445.0,0.000294
7450.0,0.000313
7455.0,0.00028799999999999995
7460.0,0.000319
7465.0,0.000363
7470.0,0.000255
7475.0,0.000336
7480.0,0.000316
7485.0,0.0002820000000000001
7490.0,0.00033199999999999994
7495.0,0.00030999999999999995
7500.0,0.000238
7505.0,0.000295
7510.0,0.000298
7515.0,0.000244
7520.0,0.0002820000000000001
7525.0,0.000316
7530.0,0.000251
7535.0,0.000305
7540.0,0.000296
7545.0,0.000211
7550.0,0.000274
7555.0,0.000286
7560.0,0.000274
7565.0,0.00033700000000000006
7570.0,0.00029899999999999995
7575.0,0.000228
7580.0,0.000309
7585.0,0.000296
7590.0,0.0002930000000000001
7595.0,0.000314
7600.0,0.000292
7605.0,0.000228
7610.0,0.00026
7615.0,0.000281
7620.0,0.000341
7625.0,0.000267
7630.0,0.000264
7635.0,0.000217
7640.0,0.000268
7645.0,0.000235
7650.0,0.000233
7655.0,0.000247
7660.0,0.00029899999999999995
7665.0,0.000203
7670.0,0.000272
7675.0,0.00027699999999999996
7680.0,0.000241
7685.0,0.000287
7690.0,0.0003
7695.0,0.000237
7700.0,0.00029
7705.0,0.000242
7710.0,0.000186
7715.0,0.000261
7720.0,0.000284
7725.0,0.000235
7730.0,0.00025
7735.0,0.000229
7740.0,0.000214
7745.0,0.000208
7750.0,0.000286
7755.0,0.000232
7760.0,0.000242
7765.0,0.000269
7770.0,0.000214
7775.0,0.000259
7780.0,0.000254
7785.0,0.000204
7790.0,0.000267
7795.0,0.00023
7800.0,0.000228
7805.0,0.00026
7810.0,0.00025
