,0
781,0.09058116977345487
782,0.11301628420991448
783,0.113105502341561
784,0.11379614974498027
785,0.11265918051745057
786,0.11206340245542987
787,0.1283797468568594
788,0.12851896020212428
789,0.128830213340803
790,0.12948314026422428
791,0.14389746196669223
792,0.1464382192469984
793,0.1478315304547321
794,0.1484223856347846
795,0.15100702748760286
796,0.1383376060116444
797,0.1383376060116444
798,0.13750430745061676
799,0.13726493340052037
800,0.14011513289777974
801,0.14092001708864524
802,0.1360847862783489
803,0.13559015939038768
804,0.1350912862076845
805,0.1347794253972241
806,0.13312107089107816
807,0.12732840754685648
808,0.12610783696310174
809,0.11978194306240568
810,0.12355472537363923
811,0.12042856823675817
812,0.11606480698447902
813,0.11371025489714075
814,0.11435181924025548
815,0.11662392239389086
816,0.1167790665676988
817,0.11465163495313169
818,0.10910109978190158
819,0.10596963034727325
820,0.10152716606496716
821,0.10221423211027714
822,0.10161892294243975
823,0.0972005821030653
824,0.09643364611587284
825,0.09657455655412824
826,0.09853546156792181
827,0.10447488119382319
828,0.10147385087397771
829,0.10218048652999831
830,0.09914111856513215
831,0.09702480783225584
832,0.09669678651769538
833,0.10236863456006044
834,0.10324071959570674
835,0.10226404288894168
836,0.09797837238900402
837,0.10008010090871608
838,0.09467488424978363
839,0.08766583582178782
840,0.0880587620199739
841,0.08799935390191307
842,0.09047284605443462
843,0.09083586625328001
844,0.0940578837164907
845,0.09208127715834169
846,0.08885019481147771
847,0.08885019481147771
848,0.08864070420167965
849,0.08429778284657674
850,0.08315522907599157
851,0.08178781857804117
852,0.08047981254088823
853,0.08000819253116323
854,0.08130606721776841
855,0.0797484077872795
856,0.0797484077872795
857,0.07840234577259518
858,0.07574538719224212
859,0.07607894185245798
860,0.07499221967577428
861,0.07629594518371337
862,0.07481640071689771
863,0.07568872910669903
864,0.07416901428122073
865,0.07389009239064566
866,0.07372431324919944
867,0.07203475632725886
868,0.07684423110883846
869,0.07381086897419828
870,0.07861460868369287
871,0.07821161785365166
872,0.07844553631614641
873,0.07811340734801302
874,0.08089079275811821
875,0.08089079275811821
876,0.08065215519530884
877,0.08703920538236422
878,0.08935117062778254
879,0.09927483897199266
880,0.10170985501261663
881,0.10209732539092753
882,0.12564785870090697
883,0.12623593523253368
884,0.1469080554216363
885,0.17997483826988692
886,0.18463736401720138
887,0.15259496804927716
888,0.22622886495035255
889,0.2934051969927298
890,0.33118203719881095
891,0.40260600585967193
892,0.3797492940624381
893,0.4106838185899052
894,0.4468068889602471
895,0.4870985639647595
896,0.4911883511502599
897,0.5366648393233266
898,0.5375081233256607
899,0.5179241382590525
900,0.526058492597268
901,0.5220764333432646
902,0.5265860428073778
903,0.523771030948914
904,0.5465347749889585
905,0.5260400356508123
906,0.5202762088340799
907,0.5228769771171077
908,0.5208608543213454
909,0.5143320463057566
910,0.5375646736647289
911,0.5319517127572488
912,0.5361605359552714
913,0.529184142363938
914,0.5134449045040778
915,0.5063983272578937
916,0.5350740437144634
917,0.5357773432828571
918,0.5284167768640973
919,0.48207165510285166
920,0.48207165510285166
921,0.510762240607181
922,0.5037255091776428
923,0.5033900480908476
924,0.5025540354704748
925,0.4842277352497986
926,0.48424903459535695
927,0.4940265677147261
928,0.49431349114851136
929,0.502652928682651
930,0.5026238069321466
931,0.5106289875252908
932,0.501675547021258
933,0.5011308898857558
934,0.5090622496517184
935,0.5174078583878443
936,0.51675714487423
937,0.5166391136822892
938,0.5166368605288681
939,0.4889890629061272
940,0.48906676476809396
941,0.4809897214512485
942,0.5182027850001591
943,0.5195716078257747
944,0.5024476403556523
945,0.5411848600612936
946,0.5132791009202613
947,0.505448962341097
948,0.49732445737757214
949,0.4975864591524869
950,0.492197134212069
951,0.5105935030466032
952,0.5129551170003478
953,0.5340498456932788
954,0.5066635139680615
955,0.5101998623375601
956,0.5235809817390984
957,0.5174120438462585
958,0.5218669677923109
959,0.515802705975085
960,0.5009818209809365
961,0.48385907904607284
962,0.49454579101798624
963,0.4863913572492915
964,0.47685533417257003
965,0.47685533417257003
966,0.48555342147158825
967,0.4657503551137191
968,0.47466963400230155
969,0.46423859207885654
970,0.4835493061883813
971,0.4731464749581332
972,0.4991463206267356
973,0.4790944117313398
974,0.4874645299244425
975,0.4839181510285441
976,0.48370195912202935
977,0.49238717628250317
978,0.49936990805647813
979,0.45048416776278455
980,0.45022749815306645
981,0.4670275945069386
982,0.48441171830434393
983,0.49336807211539147
984,0.49322705521933524
985,0.493401816709099
986,0.5024941620294687
987,0.4929626940806286
988,0.4831377292476954
989,0.49988379665991983
990,0.4621627123200379
991,0.4787913053491094
992,0.49516220607032313
993,0.5029870034625581
994,0.5095617817005778
995,0.4884214107658857
996,0.4759060644726932
997,0.4918369687053182
998,0.4954671522161526
999,0.4673115481959777
1000,0.44657679716578286
1001,0.46977812904810334
1002,0.4850884104928777
1003,0.48200481638541576
1004,0.4881072429940171
1005,0.44021537578865955
1006,0.4443284733383748
1007,0.4503668531192835
1008,0.46099185543595855
1009,0.4323045900193174
1010,0.45251102055352116
1011,0.39814647960339916
1012,0.4140829506933019
1013,0.42290198417131275
1014,0.4239935805771385
1015,0.3863141330089181
1016,0.3930569910320483
1017,0.4167605313915823
1018,0.39341676377693774
1019,0.3494227263150275
1020,0.37129379734312506
1021,0.3549602867504208
1022,0.3633247916736793
1023,0.37040456953923356
1024,0.3009920630681978
1025,0.307240647778702
1026,0.2461005666655537
1027,0.21198393107882135
1028,0.23174003987289216
1029,0.18215812086797598
1030,0.19642279722736813
1031,0.19814391045716936
1032,0.19038813997517764
1033,0.1840465599135569
1034,0.19200106768365194
1035,0.16099348917266051
1036,0.16524274973218006
1037,0.15968935504289608
1038,0.15798709713341338
1039,0.15758335945089974
1040,0.15443501582335373
1041,0.15417838767203199
1042,0.15414159093425528
1043,0.1544867173510737
1044,0.15483660214660944
1045,0.15450173152053875
1046,0.15433197865447182
1047,0.15463013615174828
1048,0.1546954336342715
1049,0.15577159600014315
1050,0.15514931911109064
1051,0.1557609260706878
1052,0.15590129270942296
1053,0.15761490099109796
1054,0.15785346313613918
1055,0.15620306635094705
1056,0.15584732722174066
1057,0.15487614101164507
1058,0.15465138801484743
1059,0.15460626020592513
1060,0.1534522349368151
1061,0.1526934148750485
1062,0.152867402732474
1063,0.15291519887980531
1064,0.15365284571366677
1065,0.15350985162981357
1066,0.15328211173795106
1067,0.15328211173795106
1068,0.15346062391743004
1069,0.15346062391743004
1070,0.15067473926676703
1071,0.1506595679201833
1072,0.15128108212231478
1073,0.1508901138845773
1074,0.1488884198896725
1075,0.14804839620931223
1076,0.14691714863613584
1077,0.14617874936686975
1078,0.14506096094090493
1079,0.14365081664948992
1080,0.14298242379821863
1081,0.1419833685803763
1082,0.13915778956481353
1083,0.13717057559392587
1084,0.1348250200786262
1085,0.13280364838493916
1086,0.13100479481332525
1087,0.1286163500044381
1088,0.12664948125154354
1089,0.12398455421599366
1090,0.12218075818309568
1091,0.12139603136341913
1092,0.11855944616967629
1093,0.1174272895563233
1094,0.11588239792175713
1095,0.11116750315858269
1096,0.10969942025818623
1097,0.10857729189784013
1098,0.10742995891051271
1099,0.10541979186075805
1100,0.10244849817889859
1101,0.10114684903850041
1102,0.09937675224057341
1103,0.09872139822778085
1104,0.09846154264974927
1105,0.09776555141790352
1106,0.0963164794318928
1107,0.09531794001960531
1108,0.09403317635944483
1109,0.09356785144928312
1110,0.09248102287209746
1111,0.09105067752671908
1112,0.08933962021751529
1113,0.08837402439017918
1114,0.08721517926084375
1115,0.08510339687581898
1116,0.08217353408955921
1117,0.08125315431313151
1118,0.07833710699302629
1119,0.0776860617622081
1120,0.0743879738144192
1121,0.07292757620096246
1122,0.07123731217914357
1123,0.06989832864260997
1124,0.06862893668887483
1125,0.06692184292802324
1126,0.0649570137203706
1127,0.06286810104821347
1128,0.06197235848316857
1129,0.060391247335493975
1130,0.05928676124592272
1131,0.057689179759263555
1132,0.05612598366016028
1133,0.05851249812859477
